n,tempo
1000,1.1446
2000,1.7539
3000,2.3595
4000,3.0201
5000,5.2785
6000,5.4405
7000,5.8413
8000,6.8644
9000,7.8315
10000,7.9914
11000,9.4491
12000,8.9276
13000,10.6579
14000,12.6556
15000,11.9452
16000,11.1445
17000,12.704
18000,13.0885
19000,15.9982
20000,20.3592
